ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Category,Purchased Bike
12496,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,MIDDLE,No
24107,Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,MIDDLE,No
14177,Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,OLD,No
24381,Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,MIDDLE,Yes
25597,Single,Male,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,MIDDLE,Yes
13507,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,MIDDLE,No
27974,Single,Male,160000,2,High School,Management,Yes,4,0-1 Miles,Pacific,33,MIDDLE,Yes
19364,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,MIDDLE,Yes
22155,Married,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,MIDDLE,No
19280,Married,Male,120000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,MIDDLE,Yes
22173,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,MIDDLE,Yes
12697,Single,Female,90000,0,Bachelors,Professional,No,4,More than 10 miles,Pacific,36,MIDDLE,No
11434,Married,Male,170000,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,MIDDLE,No
25323,Married,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,MIDDLE,Yes
23542,Single,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,MIDDLE,Yes
20870,Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,MIDDLE,Yes
23316,Single,Male,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,MIDDLE,Yes
12610,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,MIDDLE,No
27183,Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,MIDDLE,Yes
25940,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,MIDDLE,Yes
25598,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,MIDDLE,Yes
21564,Single,Female,80000,0,Bachelors,Professional,Yes,4,More than 10 miles,Pacific,35,MIDDLE,No
19193,Single,Male,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,MIDDLE,Yes
